title,artist,chords_url
A Case of You,Joni MItchell,https://tabs.ultimate-guitar.com/tab/joni-mitchell/a-case-of-you-chords-957219
A Horse with No Name,America,https://tabs.ultimate-guitar.com/tab/america/a-horse-with-no-name-chords-59609
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terelle",https://www.amchords.com/guitar/marvin-gaye/aint-no-mountain-high-enough
Ain't No Sunshine,Bill Withers,https://tabs.ultimate-guitar.com/tab/bill-withers/aint-no-sunshine-chords-468744
All I Want,Joni Mitchell,https://tabs.ultimate-guitar.com/tab/joni-mitchell/all-i-want-chords-257872
All My Lovin,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/all-my-loving-chords-453882
All The Small Things,Blink 182,https://tabs.ultimate-guitar.com/tab/blink-182/all-the-small-things-chords-118610
All for You,Janet Jackson,https://tabs.ultimate-guitar.com/tab/janet-jackson/all-for-you-chords-570789
All of Me,John Legend,https://tabs.ultimate-guitar.com/tab/john-legend/all-of-me-chords-1432996
Always Be My Baby,Mariah Carey,https://tabs.ultimate-guitar.com/tab/mariah-carey/always-be-my-baby-chords-1229873
American Boy,Estelle,https://tabs.ultimate-guitar.com/tab/estelle/american-boy-chords-1227810
American Teenager,Ethel Cain,https://tabs.ultimate-guitar.com/tab/ethel-cain/american-teenager-chords-4168975
Any Way You Want It,Journey,https://tabs.ultimate-guitar.com/tab/journey/any-way-you-want-it-chords-356175
Arrow Through Me,Wings,https://tabs.ultimate-guitar.com/tab/wings/arrow-through-me-chords-4033834
At Last,Etta James,https://tabs.ultimate-guitar.com/tab/etta-james/at-last-chords-1867911
Baby,Justin Bieber,https://tabs.ultimate-guitar.com/tab/justin-bieber/baby-chords-911859
Back Pocket,Vulfpeck,https://tabs.ultimate-guitar.com/tab/vulfpeck/back-pocket-chords-1861828
Bad Habit,Steve Lacy,https://tabs.ultimate-guitar.com/tab/steve-lacy/bad-habit-chords-4253098
Bad Romance,Lady Gaga,https://tabs.ultimate-guitar.com/tab/lady-gaga/bad-romance-chords-923703
Basket Case,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/basket-case-chords-955966
Beautiful,Christina Aguilera,https://tabs.ultimate-guitar.com/tab/christina-aguilera/beautiful-chords-885946
Bed Peace,Jhene Aiko,https://tabs.ultimate-guitar.com/tab/jhene-aiko/bed-peace-chords-1429121
Before He Cheats,Carrie Underwood,https://tabs.ultimate-guitar.com/tab/carrie-underwood/before-he-cheats-chords-428082
Bennie and the Jets,Elton John,https://tabs.ultimate-guitar.com/tab/elton-john/bennie-and-the-jets-chords-474727
Best Part,"H.E.R., Daniel Caesar",https://tabs.ultimate-guitar.com/tab/daniel-caesar/best-part-chords-2126075
Best Thing I Never Had,Beyonce,https://chordseasy.com/song/29714/best-thing-i-never-had/
Bewitched Bothered And Bewildered,Ella Fitzgerald,https://tabs.ultimate-guitar.com/tab/ella-fitzgerald/bewitched-bothered-and-bewildered-chords-4133122
Beyond,Leon Bridges,https://tabs.ultimate-guitar.com/tab/leon-bridges/beyond-chords-2371937
Beyond the Sea,Bobby Darin,https://tabs.ultimate-guitar.com/tab/bobby-darin/beyond-the-sea-chords-66751
Big Girls Don't Cry,Fergie,https://tabs.ultimate-guitar.com/tab/fergie/big-girls-dont-cry-chords-687262
Billie Jean,Michael Jackson,https://www.gotabs.com/michael-jackson/billie-jean-chords
Birds of a Feather,Billie Eilish,https://tabs.ultimate-guitar.com/tab/billie-eilish/birds-of-a-feather-chords-5270913
Blank Space,Taylor Swift,https://chordseasy.com/song/26297/blank-space
Bleeding Love,Leona Lewis,https://tabs.ultimate-guitar.com/tab/leona-lewis/bleeding-love-chords-690995
Blister In the Sun,Violent Femmes,https://tabs.ultimate-guitar.com/tab/violent-femmes/blister-in-the-sun-chords-588
Blue Suede Shoes,Elvis Presley,https://tabs.ultimate-guitar.com/tab/elvis-presley/blue-suede-shoes-chords-811874
Bohemian Rhapsody - Remastered 2011,Queen,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
Boo'd Up,Ella Mai,https://tabs.ultimate-guitar.com/tab/ella-mai/bood-up-chords-2346067
Borderline,Madonna,https://tabs.ultimate-guitar.com/tab/madonna/borderline-chords-118237
